State;2011;2012;2013;2014;2015;2016
Alabama;180665;185878;190319;193995;200421;205625
Alaska;58759;60890;59808;58196;53311;50404
Arizona;254192;264693;270469;281031;292972;305849
Arkansas;107287;109226;114456;118068;119320;121383
California;2036297;2131199;2223892;2358811;2505853;2622731
Colorado;262719;272799;286835;305633;315201;322644
Connecticut;234233;239462;240975;244628;255517;259918
Delaware;59937;60628;61109;66115;69582;71453
District of Columbia;107738;109685;111890;116358;121528;126478
Florida;741455;764136;794644;833968;888828;926049
Georgia;424126;439058;454238;479273;506298;531302
Hawaii;70017;72532;74630;77155;81745;84671
Idaho;56744;58105;60854;63305;65921;68377
Illinois;679776;711370;721876;750212;777243;796012
Indiana;291570;299996;311150;325904;335720;347249
Iowa;148843;158246;162305;171115;180440;185183
Kansas;136884;140964;143471;148468;151314;150576
Kentucky;171835;177046;181135;185945;191912;196681
Louisiana;236248;241378;234608;243474;240663;236999
Maine;51490;52580;53348;55396;57319;59295
Maryland;324830;332500;339443;350873;366492;382437
Massachusetts;417283;434098;442090;459547;489183;505776
Michigan;399437;416701;429644;445535;472293;490238
Minnesota;282397;292920;304063;317653;328403;339096
Mississippi;96968;101351;103523;104633;106303;108495
Missouri;257225;266245;275911;282381;293373;299113
Montana;41187;42349;43229;45064;45867;46227
Nebraska;99935;101973;106765;112167;115720;117446
Nevada;124445;125440;128205;133109;141279;146278
New Hampshire;65214;66948;68558;71192;74807;77208
New Jersey;493343;514662;531072;542789;562474;575331
New Mexico;89261;90146;90834;94674;93022;93594
New York;1229743;1301041;1330236;1392019;1459442;1500055
North Carolina;427974;438350;454945;475420;501671;521621
North Dakota;42164;52493;54965;59711;56420;53453
Ohio;528567;550299;564683;595220;611935;626622
Oklahoma;163868;174305;186007;198752;190182;181278
Oregon;199929;196973;196594;203909;217821;228886
Pennsylvania;615411;637896;659792;685510;708011;719834
Rhode Island;49716;50997;52187;53803;56204;57529
South Carolina;170193;174567;181556;191167;202720;209859
South Dakota;42253;43056;44560;45647;47356;48354
Tennessee;263175;278298;288012;299140;316789;331868
Texas;1344733;1437893;1536472;1612242;1608403;1599283
Utah;124031;128018;133274;140856;149073;157671
Vermont;27676;28195;28690;29413;30355;31091
Virginia;429174;441144;449235;459488;481417;492932
Washington;370149;388922;405561;426592;451943;476770
West Virginia;70945;70969;72082;73850;73073;72861
Wisconsin;262463;272420;281569;291404;304659;313088
Wyoming;41499;40201;40968;41575;39285;38328
;;;;;;
;;;;;;
;;;;;;
;;;;;;
